奖励统计表,,,,
授予年,国家科学技术奖,国家级教学成果奖,省部级奖励,学协会奖励
2019,2,0,4,0
2018,1,8,17,0
2017,1,0,23,1
2016,3,0,15,0
2015,1,0,11,0
2014,0,6,13,2
2013,1,0,9,0
2012,2,0,7,0
2011,2,0,13,0
2010,0,0,14,1
2009,1,9,17,0
2008,0,0,18,1
2007,0,0,16,0
2006,0,0,13,1
统计说明：,,,,
? 奖励：来源于中华人民共和国科学技术部、教育部等国家部委发布数据，共计47种奖励。,,,,
? 国家级教学成果奖：每4年评选一次，本数据库包含第六届（2009年）、第七届（2013年）评选结果，最近年份还没有评选出来，奖励等级分为特等奖、一等奖、二等奖三个等级。,,,,
? 当前数据统计时间范围为2006-2020年，数据采集截止时间为2020年11月17日。,,,,
